# XviD 2pass stat file (core version 1.2.2)
# Please do not modify this file

b 4 0 1326 0 2701 247
p 2 0 136 1190 10905 594
b 4 0 1326 0 2453 276
b 4 0 1326 0 2427 298
p 2 0 145 1181 10599 640
b 4 0 1326 0 2133 294
b 4 0 1326 0 1740 287
p 2 5 147 1174 8197 659
b 4 0 1326 0 1437 290
b 4 0 1326 0 1643 286
p 2 0 160 1166 7824 660
b 4 0 1326 0 1557 293
b 4 0 1326 0 1801 287
p 2 0 169 1157 6880 645
b 4 0 1326 0 1904 309
b 4 0 1326 0 1950 304
p 2 0 176 1150 5765 644
b 4 0 1326 0 1499 310
b 4 0 1326 0 1629 297
p 2 0 180 1146 6042 644
b 4 0 1326 0 1521 286
b 4 0 1326 0 1576 288
p 2 0 188 1138 5495 645
b 4 0 1326 0 1392 297
b 4 0 1326 0 1255 292
p 2 0 193 1133 6419 672
b 4 0 1326 0 1026 293
b 4 0 1326 0 195 192
p 2 0 197 1129 6704 665
b 4 0 1326 0 1339 307
p 2 0 197 1129 6613 704
i 2 1326 0 0 32845 4158
b 4 0 1326 0 1473 327
b 4 0 1326 0 1499 329
p 2 1 273 1052 5565 713
b 4 0 1326 0 1436 343
b 4 0 1326 0 1407 365
p 2 0 249 1077 6751 737
b 4 0 1326 0 201 201
b 4 0 1326 0 1887 303
p 2 0 182 1144 4498 623
b 4 0 1326 0 2102 289
b 4 0 1326 0 1969 302
p 2 1 187 1138 5082 633
b 4 0 1326 0 1605 295
b 4 0 1326 0 1824 302
p 2 0 182 1144 5088 638
b 4 0 1326 0 1837 312
b 4 0 1326 0 1591 303
p 2 0 178 1148 5533 636
b 4 0 1326 0 1402 308
b 4 0 1326 0 1464 297
p 2 0 180 1146 5081 647
b 4 0 1326 0 1245 322
b 4 0 1326 0 1090 290
p 2 0 177 1149 5664 641
b 4 0 1326 0 1300 282
b 4 0 1326 0 176 176
p 2 0 173 1153 5239 623
b 4 0 1326 0 1455 310
b 4 0 1326 0 1274 294
p 2 0 175 1151 6385 650
b 4 0 1326 0 1460 296
b 4 0 1326 0 1580 313
p 2 0 186 1140 6230 637
b 4 0 1326 0 1605 310
b 4 0 1326 0 1667 304
p 2 0 184 1142 4919 638
b 4 0 1326 0 1654 302
b 4 0 1326 0 1722 318
p 2 0 186 1140 5465 645
b 4 0 1326 0 1463 300
b 4 0 1326 0 1572 291
p 2 0 186 1140 5607 642
b 4 0 1326 0 1682 312
b 4 0 1326 0 1936 285
p 2 0 187 1139 6298 649
b 4 0 1326 0 1880 299
b 4 0 1326 0 2253 307
p 2 0 185 1141 6505 638
b 4 0 1326 0 1871 300
b 4 0 1326 0 1967 290
p 2 0 173 1153 7259 628
b 4 0 1326 0 2758 328
b 4 0 1326 0 2517 296
p 2 0 171 1155 8659 627
b 4 0 1326 0 2703 268
b 4 0 1326 0 3026 255
p 2 0 156 1170 8273 602
b 4 0 1326 0 3466 271
b 4 0 1326 0 3647 279
p 2 0 180 1146 9490 608
b 4 0 1326 0 2132 215
b 4 0 1326 0 2354 214
p 2 0 156 1170 9344 578
b 4 0 1326 0 2317 241
b 4 0 1326 0 2192 234
p 2 0 133 1193 7944 549
b 4 0 1326 0 2053 235
b 4 0 1326 0 2207 227
p 2 1 122 1203 7516 559
b 4 0 1326 0 1777 243
b 4 0 1326 0 1946 230
p 2 3 127 1196 6448 568
b 4 0 1326 0 1712 259
b 4 0 1326 0 1894 244
p 2 1 129 1196 5964 584
b 4 0 1326 0 1578 254
b 4 0 1326 0 1838 247
p 2 0 142 1184 5449 602
b 4 0 1326 0 1193 231
b 4 0 1326 0 156 156
p 2 0 145 1181 5492 600
b 4 0 1326 0 1542 275
b 4 0 1326 0 1174 254
p 2 0 151 1175 5670 614
b 4 0 1326 0 1491 277
b 4 0 1326 0 1427 266
p 2 0 153 1173 5319 624
b 4 0 1326 0 1162 261
b 4 0 1326 0 1142 256
p 2 0 158 1168 5332 628
b 4 0 1326 0 1125 260
b 4 0 1326 0 1169 244
p 2 0 160 1166 5151 629
b 4 0 1326 0 1284 280
b 4 0 1326 0 1188 275
p 2 3 167 1156 5857 655
b 4 0 1326 0 1264 282
b 4 0 1326 0 1215 276
p 2 0 172 1154 4865 650
b 4 0 1326 0 1673 289
b 4 0 1326 0 1475 289
p 2 0 173 1153 4612 644
b 4 0 1326 0 1760 282
b 4 0 1326 0 1887 288
p 2 0 172 1154 5833 651
b 4 0 1326 0 1252 271
b 4 0 1326 0 1552 274
p 2 0 173 1153 5414 643
b 4 0 1326 0 1651 289
b 4 0 1326 0 1372 270
p 2 0 177 1149 5567 646
b 4 0 1326 0 1593 277
b 4 0 1326 0 1623 280
p 2 0 177 1149 6006 651
b 4 0 1326 0 974 279
b 4 0 1326 0 1345 266
p 2 0 172 1154 4990 641
b 4 0 1326 0 1320 296
b 4 0 1326 0 1099 280
p 2 0 169 1157 4754 635
b 4 0 1326 0 692 274
b 4 0 1326 0 1252 317
p 2 0 181 1145 5894 639
b 4 0 1326 0 242 220
b 4 0 1326 0 1441 284
p 2 0 181 1145 5530 624
b 4 0 1326 0 1384 304
b 4 0 1326 0 1545 264
p 2 0 175 1151 5092 623
b 4 0 1326 0 1672 294
b 4 0 1326 0 1754 281
p 2 0 173 1153 5092 611
b 4 0 1326 0 1425 271
b 4 0 1326 0 1621 288
p 2 0 175 1151 5268 625
b 4 0 1326 0 1660 310
b 4 0 1326 0 2017 306
p 2 0 180 1146 6369 615
b 4 0 1326 0 254 200
b 4 0 1326 0 1340 297
p 2 0 180 1146 6066 630
b 4 0 1326 0 1972 340
b 4 0 1326 0 1984 307
p 2 0 186 1140 6925 637
b 4 0 1326 0 1913 304
b 4 0 1326 0 2112 285
p 2 0 179 1147 6816 641
b 4 0 1326 0 1989 253
p 2 0 174 1152 6787 628
i 2 1326 0 0 33936 4169
b 4 0 1326 0 2951 298
b 4 0 1326 0 3098 300
p 2 1 248 1077 9133 657
b 4 0 1326 0 3624 311
b 4 0 1326 0 2899 277
p 2 0 195 1131 7935 631
b 4 0 1326 0 2925 233
b 4 0 1326 0 3308 231
p 2 0 123 1203 9190 531
b 4 0 1326 0 3152 264
b 4 0 1326 0 3233 259
p 2 0 126 1200 10210 554
b 4 0 1326 0 2993 282
b 4 0 1326 0 2602 270
p 2 0 128 1198 10312 589
b 4 0 1326 0 2399 325
b 4 0 1326 0 2262 317
p 2 3 145 1178 10895 660
b 4 0 1326 0 1710 297
b 4 0 1326 0 1841 301
p 2 0 158 1168 8739 667
b 4 0 1326 0 1799 301
b 4 0 1326 0 1717 296
p 2 0 168 1158 7616 662
b 4 0 1326 0 1572 304
b 4 0 1326 0 1960 324
p 2 0 175 1151 6789 664
b 4 0 1326 0 1637 321
b 4 0 1326 0 1848 320
p 2 0 181 1145 5919 663
b 4 0 1326 0 1484 303
b 4 0 1326 0 2160 330
p 2 0 189 1137 6470 670
b 4 0 1326 0 1631 305
b 4 0 1326 0 1452 307
p 2 0 191 1135 5782 665
b 4 0 1326 0 1552 312
b 4 0 1326 0 1697 303
p 2 0 193 1133 5349 674
b 4 0 1326 0 1508 323
b 4 0 1326 0 1316 311
p 2 0 199 1127 4380 654
b 4 0 1326 0 1509 320
b 4 0 1326 0 1311 301
p 2 0 200 1126 4887 660
b 4 0 1326 0 1572 317
b 4 0 1326 0 1535 308
p 2 0 196 1130 4279 661
p 2 0 124 1202 531 313
