# XviD 2pass stat file (core version 1.2.2)
# Please do not modify this file

p 2 4 122 1200 6654 544
b 4 0 1326 0 1999 237
b 4 0 1326 0 2032 244
p 2 3 124 1199 6336 546
b 4 0 1326 0 1717 242
b 4 0 1326 0 1736 240
p 2 0 134 1192 5894 581
b 4 0 1326 0 1717 278
b 4 0 1326 0 1721 271
p 2 0 145 1181 8437 628
b 4 0 1326 0 237 174
b 4 0 1326 0 1156 241
p 2 0 138 1188 4808 584
b 4 0 1326 0 1244 256
b 4 0 1326 0 1498 250
p 2 0 141 1185 4881 591
b 4 0 1326 0 1331 255
b 4 0 1326 0 1101 243
p 2 0 150 1176 4842 607
b 4 0 1326 0 1316 243
b 4 0 1326 0 1282 243
p 2 0 153 1173 4962 601
b 4 0 1326 0 1185 246
b 4 0 1326 0 1265 255
p 2 0 159 1167 4519 603
b 4 0 1326 0 1661 290
b 4 0 1326 0 1125 265
p 2 1 167 1158 5072 627
b 4 0 1326 0 1288 290
b 4 0 1326 0 1496 271
p 2 0 166 1160 4491 616
b 4 0 1326 0 1341 270
b 4 0 1326 0 1248 265
p 2 0 169 1157 4673 621
b 4 0 1326 0 275 185
b 4 0 1326 0 239 177
p 2 0 178 1148 4831 618
b 4 0 1326 0 1586 276
b 4 0 1326 0 1695 285
p 2 0 177 1149 4690 611
b 4 0 1326 0 1904 307
b 4 0 1326 0 1540 279
p 2 0 185 1141 6490 694
b 4 0 1326 0 1912 312
b 4 0 1326 0 1427 275
p 2 0 190 1136 5385 645
b 4 0 1326 0 1223 272
b 4 0 1326 0 1306 281
p 2 0 186 1140 5190 618
b 4 0 1326 0 1085 276
b 4 0 1326 0 1175 275
p 2 0 182 1144 4793 613
b 4 0 1326 0 1613 313
b 4 0 1326 0 1694 316
p 2 0 184 1142 6375 626
b 4 0 1326 0 1609 303
b 4 0 1326 0 1485 289
p 2 0 189 1137 5032 635
b 4 0 1326 0 1500 303
b 4 0 1326 0 1623 281
p 2 0 190 1136 5255 642
b 4 0 1326 0 1518 295
b 4 0 1326 0 1460 284
p 2 0 182 1144 5080 629
b 4 0 1326 0 1710 301
b 4 0 1326 0 1852 290
p 2 0 178 1148 5645 627
b 4 0 1326 0 2023 322
b 4 0 1326 0 2436 325
p 2 0 184 1142 8354 694
b 4 0 1326 0 374 207
b 4 0 1326 0 1687 316
p 2 0 184 1142 8122 681
b 4 0 1326 0 1679 291
b 4 0 1326 0 1958 296
p 2 0 179 1147 7796 678
b 4 0 1326 0 2319 295
b 4 0 1326 0 2612 285
p 2 0 178 1148 8290 649
b 4 0 1326 0 2604 272
b 4 0 1326 0 2948 278
p 2 1 163 1162 8348 614
b 4 0 1326 0 4142 306
