TIME,LATITUDE,LONGITUDE
08:45:07,50.777453,6.078596
08:45:12,50.777435,6.078557
08:45:17,50.777500,6.078488
08:45:22,50.777587,6.078425
08:45:27,50.777604,6.078348
08:45:32,50.777597,6.078302
08:45:37,50.777602,6.078251
08:45:42,50.777609,6.078220
08:45:47,50.777613,6.078187
08:45:52,50.777640,6.078183
08:45:57,50.777662,6.078211
08:46:02,50.777591,6.078672
08:46:07,50.777577,6.078745
08:46:12,50.777692,6.078705
08:46:17,50.778050,6.078516
08:46:22,50.778161,6.078601
08:46:27,50.778120,6.078636
08:46:32,50.778120,6.078640
08:46:37,50.778204,6.078676
08:46:42,50.778166,6.078701
08:46:47,50.778196,6.078766
08:46:52,50.778212,6.078899
08:46:57,50.778283,6.079002
08:47:02,50.778352,6.079038
08:47:07,50.778421,6.078875
08:47:12,50.778453,6.078838
08:47:17,50.778482,6.078814
08:47:22,50.778555,6.078751
08:47:27,50.778633,6.078734
08:47:32,50.778670,6.078746
08:47:37,50.778810,6.078670
08:47:42,50.779014,6.078554
08:47:47,50.779114,6.078432
08:47:52,50.779173,6.078385
08:47:57,50.779217,6.078353
08:48:02,50.779279,6.078261
08:48:07,50.779369,6.078161
08:48:12,50.779421,6.078069
08:48:17,50.779487,6.078023
08:48:22,50.779540,6.078022
08:48:27,50.779614,6.078101
08:48:32,50.779669,6.078113
08:48:37,50.779704,6.078120
08:48:42,50.779759,6.078166
08:48:47,50.779777,6.078145
08:48:52,50.779810,6.078205
08:48:57,50.779836,6.078282
08:49:02,50.779840,6.078421
08:49:07,50.779793,6.078584
08:49:12,50.779744,6.078674
08:49:17,50.779696,6.078740
08:49:22,50.779705,6.078816
08:49:27,50.779717,6.078867
08:49:32,50.779812,6.079067
08:49:37,50.779885,6.079100
08:49:42,50.779932,6.079123
08:49:47,50.779981,6.079159
08:49:52,50.780051,6.079180
08:49:57,50.780052,6.079186
08:50:02,50.780134,6.079305
08:50:07,50.780519,6.079297
08:50:12,50.780666,6.079314
08:50:17,50.780666,6.079358
08:50:22,50.780652,6.079443
08:50:27,50.780644,6.079506
08:50:32,50.780601,6.079656
08:50:37,50.780566,6.079794
08:50:42,50.780501,6.079938
08:50:47,50.780474,6.079994
08:50:52,50.780455,6.080025
08:50:57,50.780415,6.080078
08:51:02,50.780398,6.080129
08:51:07,50.780387,6.080176
08:51:12,50.780339,6.080308
08:51:17,50.780284,6.080468
08:51:22,50.780256,6.080472
08:51:27,50.780159,6.080481
08:51:32,50.780097,6.080475
08:51:37,50.780033,6.080456
08:51:42,50.779967,6.080473
08:51:47,50.779888,6.080495
08:51:52,50.779792,6.080522
08:51:57,50.779678,6.080519
08:52:02,50.779620,6.080526
08:52:07,50.779604,6.080553
08:52:12,50.779575,6.080554
08:52:17,50.779531,6.080542
08:52:22,50.779487,6.080568
08:52:27,50.779448,6.080590
08:52:32,50.779404,6.080617
08:52:37,50.779358,6.080645
08:52:42,50.779339,6.080649
08:52:47,50.779338,6.080658
08:52:52,50.779253,6.080713
08:52:57,50.779212,6.080719
08:53:02,50.779175,6.080728
08:53:07,50.779145,6.080753
08:53:12,50.779082,6.080906
08:53:17,50.779014,6.080963
08:53:22,50.778992,6.081006
08:53:27,50.778939,6.081090
08:53:32,50.778892,6.081161
08:53:37,50.778825,6.081267
08:53:42,50.778759,6.081357
08:53:47,50.778674,6.081473
08:53:52,50.778606,6.081506
08:53:57,50.778572,6.081579
08:54:02,50.778471,6.081565
08:54:07,50.778422,6.081606
08:54:12,50.778435,6.081733
08:54:17,50.778409,6.081714
08:54:22,50.778379,6.081765
08:54:27,50.778334,6.081820
08:54:32,50.778293,6.081873
08:54:37,50.778241,6.081960
08:54:42,50.778201,6.082021
08:54:47,50.778163,6.082094
08:54:52,50.778137,6.082151
08:54:57,50.778139,6.082370
08:55:02,50.778124,6.082413
08:55:07,50.778104,6.082452
08:55:12,50.778070,6.082488
08:55:17,50.778021,6.082505
08:55:22,50.778003,6.082514
08:55:27,50.778000,6.082512
08:55:32,50.777991,6.082555
08:55:37,50.777968,6.082602
08:55:42,50.777964,6.082609
08:55:47,50.777935,6.082588
08:55:52,50.777897,6.082584
08:55:57,50.777832,6.082567
08:56:02,50.777757,6.082457
08:56:07,50.777724,6.082401
08:56:12,50.777677,6.082366
08:56:17,50.777628,6.082345
08:56:22,50.777573,6.082284
08:56:27,50.777519,6.082221
08:56:32,50.777434,6.082177
08:56:37,50.777380,6.082107
08:56:42,50.777323,6.081985
08:56:47,50.777285,6.081903
08:56:52,50.777250,6.081826
08:56:57,50.777218,6.081782
08:57:02,50.777172,6.081716
08:57:07,50.777139,6.081625
08:57:12,50.777068,6.081537
08:57:17,50.777033,6.081438
08:57:22,50.776956,6.081300
08:57:27,50.776906,6.081239
08:57:32,50.776879,6.081179
08:57:37,50.776815,6.081136
08:57:42,50.776749,6.081105
08:57:47,50.776730,6.080960
08:57:52,50.776723,6.080903
08:57:57,50.776706,6.080837
08:58:02,50.776670,6.080818
08:58:07,50.776579,6.080808
08:58:12,50.776525,6.080752
08:58:17,50.776504,6.080633
08:58:22,50.776464,6.080485
08:58:27,50.776439,6.080334
08:58:32,50.776428,6.080232
