TIME,LATITUDE,LONGITUDE
09:57:49,50.775036,6.080666
09:57:54,50.775092,6.080747
09:58:00,50.775325,6.080555
09:58:05,50.775419,6.080461
09:58:10,50.775500,6.080375
09:58:15,50.775504,6.080370
09:58:20,50.775476,6.080423
09:58:25,50.775429,6.080487
09:58:30,50.775366,6.080558
09:58:35,50.775260,6.080672
09:58:40,50.775255,6.080679
09:58:45,50.775167,6.080795
09:58:50,50.775064,6.080954
09:58:55,50.775122,6.080832
09:59:00,50.775187,6.080743
09:59:05,50.775207,6.080704
09:59:10,50.775215,6.080619
09:59:15,50.775168,6.080565
09:59:20,50.775122,6.080503
09:59:25,50.775098,6.080425
09:59:30,50.775068,6.080369
09:59:35,50.775051,6.080274
09:59:40,50.775033,6.080182
09:59:45,50.775001,6.080095
09:59:50,50.774979,6.080016
09:59:55,50.774872,6.079982
10:00:00,50.774852,6.079879
10:00:05,50.774755,6.079838
10:00:10,50.774717,6.079746
10:00:15,50.774689,6.079682
10:00:20,50.774652,6.079624
10:00:25,50.774631,6.079544
10:00:30,50.774585,6.079490
10:00:35,50.774550,6.079420
10:00:40,50.774532,6.079339
10:00:45,50.774489,6.079284
10:00:50,50.774493,6.079180
10:00:55,50.774473,6.079101
10:01:00,50.774458,6.079057
10:01:05,50.774465,6.079077
10:01:10,50.774465,6.079089
10:01:15,50.774464,6.079096
10:01:20,50.774465,6.079102
10:01:25,50.774462,6.079107
10:01:30,50.774455,6.079111
10:01:35,50.774447,6.079105
10:01:40,50.774443,6.079091
10:01:45,50.774446,6.079144
10:01:50,50.774410,6.079201
10:01:55,50.774420,6.079213
10:02:00,50.774442,6.079215
10:02:05,50.774446,6.079231
10:02:10,50.774433,6.079234
10:02:15,50.774404,6.079250
10:02:20,50.774374,6.079267
10:02:25,50.774373,6.079254
10:02:30,50.774369,6.079241
10:02:35,50.774373,6.079228
10:02:40,50.774352,6.079245
10:02:45,50.774357,6.079251
10:02:50,50.774371,6.079265
10:02:55,50.774348,6.079296
10:03:00,50.774341,6.079301
10:03:05,50.774315,6.079286
10:03:10,50.774275,6.079217
10:03:15,50.774281,6.079198
10:03:20,50.774296,6.079194
10:03:25,50.774302,6.079195
10:03:30,50.774308,6.079192
10:03:35,50.774309,6.079198
10:03:40,50.774308,6.079221
10:03:45,50.774324,6.079168
10:03:50,50.774320,6.079133
10:03:55,50.774318,6.079121
10:04:00,50.774321,6.079111
10:04:05,50.774330,6.079105
10:04:10,50.774335,6.079108
10:04:15,50.774330,6.079118
10:04:20,50.774256,6.079197
10:04:25,50.774214,6.079178
10:04:30,50.774143,6.079125
10:04:35,50.774094,6.078995
10:04:40,50.774028,6.079188
10:04:45,50.773979,6.079365
10:04:50,50.773988,6.079504
10:04:55,50.773978,6.079450
10:05:00,50.774021,6.079364
10:05:05,50.774044,6.079331
10:05:10,50.774057,6.079318
10:05:15,50.774076,6.079321
10:05:20,50.774082,6.079308
10:05:25,50.774085,6.079287
10:05:30,50.774098,6.079261
10:05:35,50.774119,6.079245
10:05:40,50.774154,6.079393
10:05:45,50.774193,6.079358
10:05:50,50.774218,6.079262
10:05:55,50.774246,6.079120
10:06:00,50.774227,6.079022
10:06:05,50.774189,6.078960
10:06:10,50.774154,6.078945
10:06:15,50.774101,6.078897
10:06:20,50.774092,6.078824
10:06:25,50.774064,6.078752
10:06:30,50.774031,6.078679
10:06:35,50.773987,6.078616
10:06:40,50.773984,6.078547
10:06:45,50.773948,6.078467
10:06:50,50.773940,6.078377
10:06:55,50.773906,6.078294
10:07:00,50.773891,6.078174
10:07:05,50.773850,6.078091
10:07:10,50.773801,6.078007
10:07:15,50.773741,6.077958
10:07:20,50.773701,6.077889
10:07:25,50.773686,6.077868
10:07:30,50.773690,6.077870
10:07:35,50.773703,6.077848
10:07:40,50.773705,6.077845
10:07:45,50.773707,6.077836
10:07:50,50.773702,6.077828
10:07:55,50.773687,6.077801
10:08:00,50.773686,6.077795
10:08:05,50.773640,6.077788
10:08:10,50.773598,6.077737
10:08:15,50.773573,6.077710
10:08:20,50.773535,6.077659
10:08:25,50.773502,6.077608
10:08:30,50.773448,6.077582
10:08:35,50.773379,6.077563
10:08:40,50.773322,6.077552
10:08:45,50.773257,6.077539
10:08:50,50.773173,6.077579
10:08:55,50.773117,6.077536
10:09:00,50.773059,6.077536
10:09:05,50.772998,6.077519
10:09:10,50.772949,6.077441
10:09:15,50.772956,6.077323
10:09:20,50.772970,6.077265
10:09:25,50.772991,6.077178
10:09:30,50.773042,6.077119
10:09:35,50.773079,6.077057
10:09:40,50.773106,6.077020
10:09:45,50.773117,6.076920
10:09:50,50.773190,6.076878
10:09:55,50.773214,6.076767
10:10:00,50.773258,6.076667
10:10:05,50.773275,6.076569
10:10:10,50.773305,6.076442
10:10:15,50.773362,6.076400
10:10:20,50.773409,6.076393
10:10:25,50.773464,6.076363
10:10:30,50.773506,6.076318
10:10:35,50.773544,6.076301
10:10:40,50.773607,6.076289
10:10:45,50.773745,6.076290
10:10:50,50.773800,6.076244
10:10:55,50.773829,6.076220
10:11:00,50.773814,6.076238
10:11:05,50.773844,6.076249
10:11:10,50.773833,6.076313
10:11:15,50.773825,6.076376
10:11:20,50.773852,6.076440
10:11:25,50.773904,6.076516
10:11:30,50.773990,6.076590
10:11:35,50.774058,6.076657
10:11:40,50.774118,6.076732
10:11:45,50.774195,6.076836
10:11:50,50.774240,6.076911
10:11:55,50.774347,6.076987
10:12:00,50.774364,6.077020
10:12:05,50.774371,6.077108
10:12:10,50.774353,6.077191
10:12:15,50.774420,6.077274
10:12:20,50.774484,6.077331
10:12:25,50.774581,6.077419
10:12:30,50.774675,6.077467
